identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
CKB~A0A0S2Z471,2.030603711955136,10.79874954250431,4.751256939239335,4.151304102791438e-5,5.580050791761217e-4,1.9651998431841848,CKB,CKB
MAT2A~P31153,3.3659052096185134,8.61390185934186,4.748091329739483,4.189402054294136e-5,5.580050791761217e-4,1.956389482387972,MAT2A,MAT2A
CLIC1~O00299,1.7762608800751458,12.80438689814738,4.709549938835665,4.6820366694242275e-5,6.150785158873745e-4,1.849193292075273,CLIC1,CLIC1
ACTBL2~Q562R1,3.957078576370799,11.640838654920007,4.698042656410648,4.8399689173629875e-5,6.272338096960953e-4,1.8172136683454534,ACTBL2,ACTBL2
TPM2~P07951,1.3321476727441155,11.451331544136577,4.643029580489412,5.671106171570177e-5,7.2514544247144e-4,1.664501809807418,TPM2,TPM2
CLTC~A0A087WVQ6,1.0198630391542594,11.229095898979692,4.568629767664027,7.024123145470807e-5,8.863334337508558e-4,1.458464226807597,CLTC,CLTC
SOD1~P00441,1.5827361929938775,13.126892276700717,4.558395440212836,7.23368493277103e-5,9.009225779905738e-4,1.4301691233545393,SOD1,SOD1
HSP90B1~A0A7P0TAE1,1.0042338602511212,11.913280798363576,4.547061209196712,7.472995760662756e-5,9.122431053384932e-4,1.3988469812577202,HSP90B1,HSP90B1
MYL9~P24844,0.8145658886366736,14.001225702906492,4.542711314822975,7.566905531382448e-5,9.122431053384932e-4,1.386829972525125,MYL9,MYL9
IGLL5~A0A0B4J231,-0.7238575294177636,23.182020527692533,-4.540735189454755,7.609952912104218e-5,9.122431053384932e-4,1.3813714572505758,IGLL5,IGLL5
HSPA1B~A0A0G2JIW1,3.0463540965165947,11.709582054178549,4.517801923150312,8.1275993166418e-5,9.562945831308972e-4,1.3180580039145484,HSPA1B,HSPA1B
SRSF1~J3KTL2,3.2957321505869626,9.900230188475547,4.515695046270188,8.176867134174511e-5,9.562945831308972e-4,1.3122445368771327,SRSF1,SRSF1
CPS1~P31327,1.1467840225408104,11.82804655336622,4.483894814174567,8.957379159186145e-5,0.0010349550136939173,1.224564374530413,CPS1,CPS1
HSPA5~P11021,0.6715473156740597,13.764069232599363,4.457265338020019,9.667301037765489e-5,0.0011036835351448933,1.151238303166874,HSPA5,HSPA5
ACTN4~A0A8V8TL71,3.094984243876577,9.119752863243077,4.432730237040249,1.0370453559158875e-4,0.0011700311721451013,1.083760406239974,ACTN4,ACTN4
YWHAG~P61981,2.9989999160410115,9.86576006158562,4.406336456295415,1.1183319723040605e-4,0.0012470701877204582,1.0112603657294281,YWHAG,YWHAG
UBB~B4DV12,1.2187807824846786,13.096727982522992,4.3622690543520966,1.2682878778800638e-4,0.0013855454196849324,0.8904285661964888,UBB,UBB
NPM1~A0A7I2V2X9,4.041806529438459,12.199748796091079,4.361407896595581,1.2714076843824197e-4,0.0013855454196849324,0.8880700487646793,NPM1,NPM1
APOC4~P55056,-3.2622752721891093,11.739554447427793,-4.349037186216512,1.3170686397408652e-4,0.0014191784556308873,0.8542013791113394,APOC4,APOC4
ATP5F1B~P06576,3.225712754986626,10.610659663016289,4.337465090269445,1.3612439611135108e-4,0.0014334818693291348,0.8225395394962716,ATP5F1B,ATP5F1B
ANXA2P2~A6NMY6,1.2476815935323025,12.089045765073731,4.334045237508657,1.3745763265546492e-4,0.0014334818693291348,0.8131864587422761,ANXA2P2,ANXA2P2
HSPA7~P48741,0.9048401921464038,14.847783903960083,4.333889649031561,1.3751859434648633e-4,0.0014334818693291348,0.8127609756770697,HSPA7,HSPA7
SNCA~A0A669KB41,1.7617040274877507,11.050433854792479,4.287932757512139,1.5674230578715308e-4,0.0016162996908589227,0.6872453674382264,SNCA,SNCA
TPI1~P60174,1.569950932055697,13.737993976080066,4.264063820232714,1.6774753005808536e-4,0.0017113817162308922,0.6221856513481097,TPI1,TPI1
SERPING1~A0A7I2V2D2,-0.4068445930923481,21.273835521137745,-4.23909382157797,1.8007456092109946e-4,0.0018178053044561513,0.554223311071051,SERPING1,SERPING1
IGHG1~P01857,-0.5909563633768187,26.769413424551168,-4.232319783911779,1.835697087879231e-4,0.0018337849034126901,0.5358037290779674,IGHG1,IGHG1
RPL5~A0A2R8Y6J3,0.749772912969453,12.575411441394575,4.223369986977507,1.882899849017638e-4,0.001861547376503005,0.5114797090281273,RPL5,RPL5
A2M~P01023,-0.4739357487860367,24.939228586210795,-4.212485188651107,1.9419194470305967e-4,0.0019003068874513698,0.4819149013863546,A2M,A2M
RAP1B~P61224,2.71105254271065,13.201670134769723,4.187962099705633,2.0816361804422385e-4,0.0020164536333778854,0.4153807647043628,RAP1B,RAP1B
IGKV1-17~P01599,0.9796862540569684,18.14184697607707,4.182375357248361,2.1148224188711673e-4,0.0020281146996974494,0.40023786502950465,IGKV1-17,IGKV1-17
