symbol,t_stat
MTPN,2.6445951084538084
MYDGF,2.643659678865382
MYH1,2.615461635831903
CFI,2.6052064691396035
RPL6,2.6037184033611305
ANXA5,2.603610669460804
IGHV3-73,2.5723859730539322
SET,2.565283273157603
TUBA1C,2.5580330177424715
ANXA7,2.5359770993646373
YWHAB,2.5191003786210566
UBA1,2.5116375812029457
DDX5,2.5075792921937605
CCS,2.492699520031595
C2,2.483496400580041
LGALS3,2.4564472350520448
HNRNPA2B1,2.450270920291526
CFHR4,2.4259769022357642
PLIN3,2.409308757208895
LDHA,2.392902824746298
SAA4,2.358098085386042
PSMB6,2.353883951603413
PGD,2.338408726929177
RPL9,2.325476320885089
DDB1,2.3245852557471602
ANP32E,2.320337583127981
UBE2V1,2.319159749434742
RAD23A,2.3057885819972475
EIF3E,2.304909790391111
CAPZB,2.2964924906204827
UGP2,2.2933566108712853
PSME1,2.2875624111054127
KRT9,2.281865667633362
LMAN2,2.2375640541760506
ARHGDIA,2.218547500631792
PSAP,2.2181903575660864
PGLS,2.216981020314005
SNAP23,2.1966460480568477
ARPC2,2.1797428806061454
FGL1,2.1593951144667667
RAB1A,2.1461158575012917
GLOD4,2.1287997932115066
RAB5B,2.125866710794125
H2BC11,2.1101702966563067
CSRP1,2.10971783047525
G6PD,2.1083814431293164
APOB,2.1038407880185224
GLO1,2.100657547569424
APEH,2.0949284609877608
CAPNS1,2.061746311536959
RSU1,2.055632662788176
GNAI2,2.0483800421041485
YWHAQ,2.03523121770298
SRGN,2.0323046566527987
PSMA2,2.02077613027178
RPL15,2.0122714898885117
PGM1,1.9907197379718269
TBCA,1.9822019981529975
ANXA4,1.941457646463781
GSPT1,1.924277080366549
CCT5,1.913316931564447
CAND1,1.9059149361186645
CCT8,1.9014300317312411
CTSC,1.897226246361267
GLRX,1.8899564722507722
RPS14,1.8852742692373319
KPNB1,1.8820669149591838
PAEP,1.8808791263363194
OLA1,1.8672936797586868
RBBP8,1.8646978513713242
PTPA,1.8501560795151493
APOF,1.8493542628371775
HNRNPA1,1.8397825062527178
TKT,1.832525364711958
SRI,1.8304311371703037
CCT6A,1.8287685335174295
PCNA,1.827719754317823
CORO1A,1.8217678652422131
NCL,1.8210584562979475
LALBA,1.8184923748930493
PSMA5,1.8072277265939203
KRT10,1.7972924720167671
RETN,1.7764467498250516
MST1,1.7662852207076278
HCG_2039566,1.7615742598154533
APOC1,1.7506560622189644
RCN1,1.745812779503473
FGA,1.7143040130846783
GDI1,1.7121118407259188
YWHAH,1.705667344908633
IGLV9-49,1.6916754281311541
CD9,1.68823966185743
HSPA4,1.6716863533061996
ALDOC,1.6711425454900828
QARS1,1.665899884389317
KRT1,1.663816676332419
STMN1,1.658034546834529
OAF,1.6523939793223497
SYNCRIP,1.651251099658674
CAPG,1.6365437650715544
PCMT1,1.6188234595511677
DCD,1.6180716412872922
GNB4,1.6077424173935013
H1-4,1.5959223738960144
PGM2,1.5952010880647782
PCSK9,1.5745551301283929
FDPS,1.5686084351217109
PRTN3,1.5626912689591133
ESD,1.562495064179287
PAFAH1B2,1.5400082429970274
IGHV3-53,1.5366213737958343
TTR,1.5249179650823939
CCT2,1.5222096114633707
PRKAR1A,1.5165414135260997
GRB2,1.4949722876004277
KNG1,1.4934243786385462
SERPINA4,1.4672808163340467
PTBP1,1.458195539644661
RTN4,1.4554465429179066
CEACAM1,1.451306966638927
FERMT3,1.4506004484116484
SERPINA11,1.4394477460205517
HNRNPK,1.4370369922316653
GSTP1,1.4253938717164862
PSMA3,1.4214259753055993
GP5,1.421245826176122
IDH1,1.415180191958123
CYCS,1.4040140503281473
HBE1,1.4026262181337286
CAMP,1.4018926697772058
F7,1.3871434050420268
ALAD,1.3810946515754925
PDGFRB,1.3776685180574106
ANXA11,1.3775384679126599
FETUB,1.3670444391406802
FBLN5,1.3553934988230876
PRDX2,1.3371552946465817
ASS1,1.3366110269389644
PSME2,1.3228961754602722
PEBP1,1.3197626940579839
PIP,1.3172487288499373
CYRIB,1.2779430176609428
SPTB,1.2628266623482014
ZYX,1.2606030157264998
